day	hour	value
1	1	6
1	2	1
1	3	4
1	4	13
1	5	63
1	6	192
1	7	316
1	8	188
1	9	170
1	10	139
1	11	148
1	12	192
1	13	160
1	14	163
1	15	163
1	16	210
1	17	212
1	18	176
1	19	151
1	20	87
1	21	43
1	22	37
1	23	26
1	24	10
2	1	2
2	2	3
2	3	7
2	4	9
2	5	67
2	6	198
2	7	307
2	8	215
2	9	189
2	10	144
2	11	184
2	12	191
2	13	187
2	14	166
2	15	189
2	16	181
2	17	261
2	18	195
2	19	142
2	20	100
2	21	61
2	22	49
2	23	26
2	24	17
3	1	4
3	2	3
3	3	5
3	4	10
3	5	49
3	6	165
3	7	264
3	8	180
3	9	140
3	10	134
3	11	147
3	12	155
3	13	145
3	14	125
3	15	155
3	16	171
3	17	179
3	18	157
3	19	112
3	20	72
3	21	51
3	22	33
3	23	34
3	24	7
4	1	4
4	2	6
4	3	5
4	4	17
4	5	52
4	6	161
4	7	262
4	8	151
4	9	160
4	10	131
4	11	153
4	12	148
4	13	131
4	14	142
4	15	126
4	16	169
4	17	187
4	18	154
4	19	146
4	20	76
4	21	70
4	22	42
4	23	50
4	24	14
5	1	9
5	2	4
5	3	3
5	4	18
5	5	39
5	6	165
5	7	277
5	8	175
5	9	123
5	10	122
5	11	139
5	12	163
5	13	140
5	14	149
5	15	135
5	16	205
5	17	176
5	18	189
5	19	163
5	20	95
5	21	69
5	22	61
5	23	55
5	24	22
6	1	10
6	2	4
6	3	9
6	4	11
6	5	45
6	6	79
6	7	97
6	8	131
6	9	133
6	10	123
6	11	125
6	12	125
6	13	106
6	14	125
6	15	145
6	16	154
6	17	169
6	18	147
6	19	140
6	20	92
6	21	87
6	22	105
6	23	106
6	24	51
7	1	33
7	2	21
7	3	18
7	4	13
7	5	33
7	6	40
7	7	43
7	8	90
7	9	122
7	10	112
7	11	149
7	12	104
7	13	91
7	14	115
7	15	149
7	16	214
7	17	208
7	18	207
7	19	133
7	20	114
7	21	130
7	22	71
7	23	44
7	24	11
