day	hour	value
1	1	12
1	2	9
1	3	3
1	4	18
1	5	45
1	6	119
1	7	150
1	8	131
1	9	155
1	10	157
1	11	178
1	12	226
1	13	178
1	14	150
1	15	149
1	16	208
1	17	255
1	18	280
1	19	204
1	20	92
1	21	60
1	22	53
1	23	49
1	24	28
2	1	6
2	2	6
2	3	8
2	4	23
2	5	29
2	6	118
2	7	148
2	8	173
2	9	150
2	10	148
2	11	194
2	12	227
2	13	193
2	14	156
2	15	171
2	16	250
2	17	279
2	18	308
2	19	206
2	20	110
2	21	47
2	22	65
2	23	61
2	24	37
3	1	5
3	2	5
3	3	4
3	4	19
3	5	28
3	6	103
3	7	151
3	8	142
3	9	116
3	10	113
3	11	148
3	12	193
3	13	146
3	14	140
3	15	121
3	16	195
3	17	224
3	18	240
3	19	197
3	20	77
3	21	49
3	22	42
3	23	46
3	24	32
4	1	7
4	2	7
4	3	6
4	4	17
4	5	38
4	6	89
4	7	136
4	8	143
4	9	115
4	10	116
4	11	161
4	12	176
4	13	148
4	14	117
4	15	132
4	16	201
4	17	229
4	18	249
4	19	177
4	20	97
4	21	61
4	22	81
4	23	49
4	24	39
5	1	7
5	2	6
5	3	8
5	4	18
5	5	37
5	6	93
5	7	117
5	8	153
5	9	110
5	10	109
5	11	172
5	12	203
5	13	168
5	14	129
5	15	142
5	16	201
5	17	225
5	18	260
5	19	183
5	20	105
5	21	50
5	22	61
5	23	81
5	24	80
6	1	30
6	2	26
6	3	13
6	4	19
6	5	16
6	6	56
6	7	90
6	8	70
6	9	120
6	10	146
6	11	180
6	12	161
6	13	113
6	14	108
6	15	137
6	16	120
6	17	159
6	18	206
6	19	182
6	20	96
6	21	45
6	22	70
6	23	73
6	24	87
7	1	59
7	2	49
7	3	39
7	4	16
7	5	18
7	6	35
7	7	58
7	8	79
7	9	97
7	10	133
7	11	197
7	12	149
7	13	66
7	14	120
7	15	126
7	16	165
7	17	175
7	18	227
7	19	192
7	20	113
7	21	94
7	22	84
7	23	60
7	24	33
