dow     h       count
       1       1      10
       1       2       8
       1       3       5
       1       4      24
       1       5      66
       1       6     170
       1       7     265
       1       8     208
       1       9     157
       1      10     127
       1      11     121
       1      12     140
       1      13     147
       1      14     156
       1      15     147
       1      16     200
       1      17     204
       1      18     181
       1      19     152
       1      20      79
       1      21      72
       1      22      33
       1      23      32
       1      24      17
       2       1       7
       2       2       4
       2       3       4
       2       4      19
       2       5      47
       2       6     171
       2       7     267
       2       8     191
       2       9     141
       2      10     145
       2      11     144
       2      12     151
       2      13     171
       2      14     134
       2      15     119
       2      16     177
       2      17     203
       2      18     220
       2      19     162
       2      20     102
       2      21      59
       2      22      41
       2      23      40
       2      24      21
       3       1      11
       3       2       4
       3       3       6
       3       4      17
       3       5      35
       3       6     130
       3       7     203
       3       8     191
       3       9     121
       3      10     134
       3      11     114
       3      12     115
       3      13     129
       3      14     123
       3      15     130
       3      16     172
       3      17     151
       3      18     143
       3      19     125
       3      20      90
       3      21      50
       3      22      53
       3      23      32
       3      24      15
       4       1      10
       4       2       5
       4       3       8
       4       4      18
       4       5      41
       4       6     127
       4       7     225
       4       8     153
       4       9     141
       4      10     125
       4      11     111
       4      12     113
       4      13     124
       4      14     145
       4      15     132
       4      16     145
       4      17     153
       4      18     158
       4      19     150
       4      20      84
       4      21      69
       4      22      34
       4      23      44
       4      24      20
       5       1      12
       5       2       4
       5       3       9
       5       4      20
       5       5      53
       5       6     119
       5       7     201
       5       8     157
       5       9     153
       5      10     102
       5      11     110
       5      12     121
       5      13     120
       5      14     117
       5      15     121
       5      16     148
       5      17     161
       5      18     145
       5      19     160
       5      20     103
       5      21      75
       5      22      62
       5      23      36
       5      24      27
       6       1      24
       6       2      16
       6       3      15
       6       4      31
       6       5      46
       6       6      89
       6       7      96
       6       8      93
       6       9      97
       6      10     115
       6      11     120
       6      12     122
       6      13      96
       6      14     118
       6      15     150
       6      16     151
       6      17     121
       6      18     150
       6      19     155
       6      20      87
       6      21      64
       6      22      84
       6      23      72
       6      24      43
       7       1      43
       7       2      35
       7       3      35
       7       4      32
       7       5      40
       7       6      50
       7       7      51
       7       8      62
       7       9      99
       7      10      89
       7      11     134
       7      12     101
       7      13      77
       7      14     104
       7      15     126
       7      16     131
       7      17     186
       7      18     203
       7      19     182
       7      20     122
       7      21      84
       7      22      86
       7      23      62
       7      24      32
