dow     h       count
       1       1       9
       1       2       3
       1       3       5
       1       4      33
       1       5      50
       1       6     108
       1       7     184
       1       8     157
       1       9     141
       1      10     131
       1      11     172
       1      12     166
       1      13     172
       1      14     131
       1      15     138
       1      16     204
       1      17     241
       1      18     224
       1      19     182
       1      20      85
       1      21      47
       1      22      54
       1      23      53
       1      24      23
       2       1      13
       2       2       8
       2       3       2
       2       4      37
       2       5      55
       2       6      99
       2       7     174
       2       8     186
       2       9     135
       2      10     147
       2      11     161
       2      12     177
       2      13     163
       2      14     128
       2      15     142
       2      16     178
       2      17     244
       2      18     238
       2      19     191
       2      20      89
       2      21      67
       2      22      59
       2      23      51
       2      24      23
       3       1       9
       3       2       7
       3       3       2
       3       4      42
       3       5      48
       3       6      83
       3       7     144
       3       8     136
       3       9     116
       3      10     120
       3      11     149
       3      12     166
       3      13     148
       3      14     111
       3      15     122
       3      16     169
       3      17     184
       3      18     211
       3      19     153
       3      20      66
       3      21      56
       3      22      42
       3      23      56
       3      24      37
       4       1      11
       4       2       2
       4       3       3
       4       4      42
       4       5      44
       4       6      82
       4       7     126
       4       8     131
       4       9     112
       4      10     107
       4      11     143
       4      12     131
       4      13     141
       4      14     119
       4      15     106
       4      16     162
       4      17     216
       4      18     194
       4      19     168
       4      20      76
       4      21      52
       4      22      60
       4      23      50
       4      24      35
       5       1       7
       5       2       2
       5       3      10
       5       4      29
       5       5      40
       5       6      97
       5       7     124
       5       8     114
       5       9      93
       5      10      97
       5      11     161
       5      12     174
       5      13     149
       5      14     131
       5      15     138
       5      16     157
       5      17     174
       5      18     180
       5      19     155
       5      20      74
       5      21      51
       5      22      83
       5      23      70
       5      24      48
       6       1      23
       6       2      12
       6       3       8
       6       4      25
       6       5      42
       6       6      58
       6       7      75
       6       8      75
       6       9      89
       6      10     111
       6      11     119
       6      12     149
       6      13      98
       6      14     105
       6      15     120
       6      16     134
       6      17     134
       6      18     180
       6      19     183
       6      20     101
       6      21      69
       6      22      77
       6      23      81
       6      24      77
       7       1      55
       7       2      20
       7       3      14
       7       4      25
       7       5      22
       7       6      50
       7       7      47
       7       8      77
       7       9      99
       7      10     121
       7      11     166
       7      12     137
       7      13      67
       7      14     103
       7      15     113
       7      16     129
       7      17     168
       7      18     183
       7      19     163
       7      20     105
       7      21      95
       7      22      80
       7      23      65
       7      24      36
