dow     h       count
       1       1      10
       1       2       3
       1       3       9
       1       4       8
       1       5      37
       1       6     142
       1       7     258
       1       8     232
       1       9     177
       1      10     142
       1      11     185
       1      12     196
       1      13     235
       1      14     183
       1      15     193
       1      16     224
       1      17     319
       1      18     268
       1      19     172
       1      20      84
       1      21      87
       1      22      57
       1      23      42
       1      24      12
       2       1       9
       2       2       1
       2       3       9
       2       4      13
       2       5      43
       2       6     140
       2       7     269
       2       8     267
       2       9     206
       2      10     190
       2      11     226
       2      12     236
       2      13     214
       2      14     190
       2      15     177
       2      16     215
       2      17     328
       2      18     262
       2      19     193
       2      20      92
       2      21      76
       2      22      70
       2      23      40
       2      24      17
       3       1       5
       3       2       3
       3       3       2
       3       4       5
       3       5      36
       3       6     118
       3       7     206
       3       8     227
       3       9     155
       3      10     115
       3      11     132
       3      12     207
       3      13     176
       3      14     146
       3      15     147
       3      16     199
       3      17     247
       3      18     224
       3      19     156
       3      20      87
       3      21      76
       3      22      54
       3      23      57
       3      24      19
       4       1       2
       4       2       3
       4       3       5
       4       4      10
       4       5      42
       4       6     104
       4       7     213
       4       8     205
       4       9     149
       4      10     131
       4      11     193
       4      12     191
       4      13     174
       4      14     145
       4      15     170
       4      16     185
       4      17     243
       4      18     216
       4      19     156
       4      20     118
       4      21      68
       4      22      79
       4      23      56
       4      24      25
       5       1       6
       5       2       6
       5       3       5
       5       4       8
       5       5      41
       5       6     101
       5       7     207
       5       8     217
       5       9     176
       5      10     108
       5      11     176
       5      12     196
       5      13     160
       5      14     166
       5      15     162
       5      16     194
       5      17     239
       5      18     192
       5      19     183
       5      20     101
       5      21      81
       5      22      73
       5      23      70
       5      24      33
       6       1      16
       6       2      11
       6       3       8
       6       4      13
       6       5      23
       6       6      74
       6       7      97
       6       8     150
       6       9     135
       6      10     151
       6      11     157
       6      12     159
       6      13     115
       6      14     130
       6      15     161
       6      16     184
       6      17     180
       6      18     145
       6      19     150
       6      20      93
       6      21      70
       6      22     104
       6      23      97
       6      24      60
       7       1      35
       7       2      28
       7       3      23
       7       4      24
       7       5      14
       7       6      14
       7       7      53
       7       8      87
       7       9      84
       7      10     119
       7      11     133
       7      12     124
       7      13     101
       7      14     134
       7      15     179
       7      16     179
       7      17     232
       7      18     204
       7      19     178
       7      20      85
       7      21     111
       7      22      90
       7      23      71
       7      24      25
