dow     h       count
       1       1       8
       1       2       6
       1       3       4
       1       4      31
       1       5      22
       1       6     175
       1       7     262
       1       8     187
       1       9     141
       1      10     178
       1      11     210
       1      12     207
       1      13     173
       1      14     178
       1      15     155
       1      16     211
       1      17     286
       1      18     263
       1      19     235
       1      20     145
       1      21      66
       1      22      63
       1      23      46
       1      24      17
       2       1       7
       2       2       8
       2       3       2
       2       4      29
       2       5      30
       2       6     177
       2       7     312
       2       8     224
       2       9     193
       2      10     178
       2      11     201
       2      12     242
       2      13     194
       2      14     170
       2      15     185
       2      16     200
       2      17     275
       2      18     284
       2      19     196
       2      20     166
       2      21      64
       2      22      58
       2      23      52
       2      24      36
       3       1       3
       3       2       6
       3       3       2
       3       4      23
       3       5      19
       3       6     136
       3       7     228
       3       8     165
       3       9     143
       3      10     135
       3      11     185
       3      12     196
       3      13     145
       3      14     161
       3      15     143
       3      16     149
       3      17     197
       3      18     237
       3      19     201
       3      20     106
       3      21      69
       3      22      56
       3      23      51
       3      24      24
       4       1       6
       4       2       6
       4       3       2
       4       4      23
       4       5      21
       4       6     156
       4       7     261
       4       8     160
       4       9     132
       4      10     128
       4      11     160
       4      12     207
       4      13     155
       4      14     151
       4      15     150
       4      16     183
       4      17     203
       4      18     235
       4      19     178
       4      20     138
       4      21      70
       4      22      63
       4      23      64
       4      24      34
       5       1      11
       5       2       3
       5       3       1
       5       4      23
       5       5      19
       5       6     153
       5       7     229
       5       8     170
       5       9     129
       5      10     152
       5      11     147
       5      12     198
       5      13     158
       5      14     171
       5      15     115
       5      16     163
       5      17     209
       5      18     238
       5      19     201
       5      20     127
       5      21      54
       5      22      73
       5      23      69
       5      24      58
       6       1      22
       6       2      16
       6       3      16
       6       4      22
       6       5      15
       6       6      64
       6       7      84
       6       8     107
       6       9     136
       6      10     172
       6      11     200
       6      12     195
       6      13     119
       6      14     112
       6      15     136
       6      16     126
       6      17     168
       6      18     210
       6      19     205
       6      20     114
       6      21      85
       6      22      68
       6      23      91
       6      24      77
       7       1      48
       7       2      27
       7       3      20
       7       4      15
       7       5      14
       7       6      24
       7       7      31
       7       8      92
       7       9     129
       7      10     142
       7      11     172
       7      12     151
       7      13      91
       7      14      99
       7      15     112
       7      16     164
       7      17     181
       7      18     221
       7      19     196
       7      20     109
       7      21      89
       7      22      89
       7      23      75
       7      24      28
