day	hour	value
1	1	8
1	2	16
1	3	54
1	4	133
1	5	346
1	6	294
1	7	168
1	8	129
1	9	110
1	10	119
1	11	178
1	12	148
1	13	124
1	14	134
1	15	138
1	16	129
1	17	113
1	18	80
1	19	68
1	20	42
1	21	33
1	22	24
1	23	5
1	24	2
2	1	3
2	2	9
2	3	56
2	4	159
2	5	320
2	6	289
2	7	182
2	8	123
2	9	133
2	10	109
2	11	146
2	12	160
2	13	108
2	14	104
2	15	148
2	16	118
2	17	128
2	18	105
2	19	62
2	20	29
2	21	29
2	22	14
2	23	5
2	24	1
3	1	5
3	2	12
3	3	58
3	4	124
3	5	267
3	6	220
3	7	116
3	8	107
3	9	82
3	10	109
3	11	116
3	12	121
3	13	82
3	14	101
3	15	109
3	16	94
3	17	110
3	18	67
3	19	51
3	20	36
3	21	20
3	22	22
3	23	10
3	24	3
4	1	6
4	2	14
4	3	51
4	4	113
4	5	271
4	6	232
4	7	111
4	8	86
4	9	103
4	10	91
4	11	111
4	12	113
4	13	107
4	14	87
4	15	102
4	16	111
4	17	129
4	18	78
4	19	57
4	20	32
4	21	27
4	22	15
4	23	4
4	24	3
5	1	2
5	2	11
5	3	42
5	4	108
5	5	265
5	6	231
5	7	118
5	8	100
5	9	90
5	10	82
5	11	129
5	12	120
5	13	105
5	14	97
5	15	116
5	16	104
5	17	108
5	18	82
5	19	49
5	20	44
5	21	36
5	22	17
5	23	10
5	24	10
6	1	10
6	2	9
6	3	39
6	4	62
6	5	110
6	6	100
6	7	99
6	8	134
6	9	93
6	10	116
6	11	127
6	12	98
6	13	89
6	14	107
6	15	108
6	16	101
6	17	102
6	18	84
6	19	41
6	20	46
6	21	46
6	22	28
6	23	18
6	24	8
7	1	15
7	2	16
7	3	25
7	4	31
7	5	55
7	6	81
7	7	105
7	8	111
7	9	126
7	10	134
7	11	91
7	12	110
7	13	92
7	14	99
7	15	99
7	16	128
7	17	82
7	18	79
7	19	58
7	20	48
7	21	28
7	22	16
7	23	8
7	24	21
