day	hour	value
1	1	3
1	2	11
1	3	19
1	4	53
1	5	97
1	6	107
1	7	75
1	8	138
1	9	135
1	10	160
1	11	189
1	12	186
1	13	161
1	14	182
1	15	208
1	16	250
1	17	221
1	18	130
1	19	80
1	20	47
1	21	59
1	22	30
1	23	10
1	24	5
2	1	4
2	2	9
2	3	13
2	4	50
2	5	110
2	6	127
2	7	96
2	8	99
2	9	145
2	10	174
2	11	193
2	12	177
2	13	155
2	14	181
2	15	209
2	16	230
2	17	190
2	18	142
2	19	80
2	20	60
2	21	59
2	22	28
2	23	9
2	24	9
3	1	2
3	2	6
3	3	16
3	4	45
3	5	79
3	6	105
3	7	83
3	8	74
3	9	103
3	10	116
3	11	165
3	12	151
3	13	135
3	14	141
3	15	174
3	16	176
3	17	181
3	18	97
3	19	58
3	20	48
3	21	50
3	22	42
3	23	10
3	24	2
4	1	3
4	2	8
4	3	12
4	4	38
4	5	79
4	6	104
4	7	69
4	8	74
4	9	90
4	10	117
4	11	142
4	12	176
4	13	124
4	14	152
4	15	167
4	16	192
4	17	159
4	18	134
4	19	61
4	20	62
4	21	52
4	22	33
4	23	23
4	24	5
5	1	1
5	2	9
5	3	8
5	4	34
5	5	64
5	6	113
5	7	75
5	8	64
5	9	103
5	10	134
5	11	171
5	12	170
5	13	159
5	14	134
5	15	146
5	16	183
5	17	163
5	18	128
5	19	58
5	20	48
5	21	53
5	22	62
5	23	45
5	24	7
6	1	5
6	2	4
6	3	8
6	4	28
6	5	46
6	6	64
6	7	78
6	8	79
6	9	97
6	10	146
6	11	138
6	12	113
6	13	113
6	14	116
6	15	118
6	16	139
6	17	131
6	18	89
6	19	56
6	20	43
6	21	81
6	22	63
6	23	40
6	24	20
7	1	14
7	2	11
7	3	10
7	4	16
7	5	15
7	6	34
7	7	78
7	8	68
7	9	95
7	10	105
7	11	74
7	12	81
7	13	96
7	14	117
7	15	176
7	16	177
7	17	163
7	18	95
7	19	64
7	20	77
7	21	57
7	22	52
7	23	7
7	24	28
